Loan ID,Amount Requested,Amount Funded By Investors,Interest Rate,Loan Length,CREDIT Grade,Loan Title,Loan Purpose,Monthly PAYMENT,Total Amount Funded,Debt-To-Income Ratio,City,State,Home Ownership,Monthly Income,FICO Range,Earliest CREDIT Line,Open CREDIT Lines,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Accounts Now Delinquent,Delinquent Amount,Delinquencies (Last 2 yrs),Employment Length,"Status (Fully Paid=1, Not Paid=0)"
1817007,8125,8125.0,0.1212,36,33,10049,10,270.34,8125,0.308,8368,19,1,8333.33,712.0,729725,14.0,39.0,24962.0,0.9470000000000001,0.0,0.0,0.0,0.0,2,0
384831,14400,14250.0,0.1347,36,27,12831,10,488.49,14400,0.1035,5522,37,0,5166.67,702.0,731823,12.0,17.0,17499.0,0.6,0.0,0.0,0.0,0.0,8,1
488028,5200,5200.0,0.1025,36,34,5356,6,168.41,5200,0.2163,6035,31,1,3500.0,712.0,730370,6.0,16.0,12970.0,0.662,2.0,0.0,0.0,0.0,1,1
507864,7000,6975.0,0.13849999999999998,36,27,11723,6,238.73,7000,0.1788,2945,34,1,3400.0,677.0,728936,13.0,28.0,17627.0,0.67,4.0,0.0,0.0,0.0,2,0
455335,3000,3000.0,0.0859,36,32,13842,8,94.84,3000,0.0561,5186,49,1,3208.33,727.0,731192,6.0,7.0,2610.0,0.39,1.0,0.0,0.0,0.0,1,1
230545,2500,1437.23,0.1078,36,0,12759,10,81.59,2500,0.1637,3784,21,1,8916.67,682.0,722950,11.0,46.0,16164.0,0.8,1.0,0.0,0.0,0.0,8,1
478877,11500,11400.0,0.1253,36,28,2603,10,384.87,11500,0.1156,3402,37,0,5000.0,722.0,730872,6.0,13.0,25088.0,0.7559999999999999,5.0,0.0,0.0,0.0,4,0
535805,7000,7000.0,0.0751,36,32,12254,6,217.78,7000,0.2127,3800,3,0,5500.0,737.0,730243,14.0,46.0,30119.0,0.494,0.0,0.0,0.0,0.0,6,0
2175596,28000,28000.0,0.1875,36,2,14104,6,1022.84,28000,0.1072,329,19,1,25000.0,707.0,729602,9.0,27.0,66682.0,0.973,1.0,0.0,0.0,0.0,1,0
614187,20000,10171.9,0.0888,36,23,6640,3,385.69,12150,0.0796,2890,37,0,5000.0,732.0,732190,6.0,15.0,11873.0,0.516,0.0,0.0,0.0,0.0,9,0
2078551,10625,10625.0,0.1433,36,0,7613,6,364.85,10625,0.2369,3776,19,0,2549.73,687.0,728963,6.0,18.0,10407.0,0.667,2.0,0.0,0.0,0.0,6,0
1706355,3700,3700.0,0.1433,36,0,7613,6,127.06,3700,0.12619999999999998,2784,25,0,2750.0,677.0,725226,8.0,26.0,3295.0,0.6459999999999999,1.0,0.0,0.0,0.0,1,0
654313,25000,25000.0,0.1343,36,14,8084,10,847.54,25000,0.13699999999999998,6467,5,1,6583.33,742.0,728418,8.0,29.0,28606.0,0.579,1.0,0.0,0.0,0.0,6,0
622984,14400,14350.0,0.18170000000000008,60,9,746,6,367.0,14400,0.1716,1004,19,0,9166.67,687.0,730668,5.0,16.0,45318.0,0.9940000000000001,4.0,0.0,0.0,0.0,8,0
2228449,5000,5000.0,0.1875,60,2,6990,6,129.02,5000,0.267,2456,34,1,6001.0,682.0,727964,9.0,18.0,28358.0,0.948,2.0,0.0,0.0,1.0,6,0
482728,7000,7000.0,0.0751,36,32,8724,0,217.77,7000,0.1138,6620,3,0,1300.0,732.0,724577,7.0,22.0,5291.0,0.67,0.0,0.0,0.0,0.0,0,1
466112,6000,6000.0,0.1253,36,28,13626,10,200.8,6000,0.0756,3723,37,0,7500.0,697.0,723220,7.0,18.0,10721.0,0.386,4.0,0.0,0.0,0.0,8,0
656877,9250,9250.0,0.16399999999999998,60,4,10110,6,226.92,9250,0.223,1692,21,1,3000.0,667.0,730055,17.0,22.0,8628.0,0.342,0.0,0.0,0.0,0.0,6,1
1181395,35000,35000.0,0.08900000000000001,36,21,6626,11,1111.37,35000,0.0452,1204,19,0,20000.0,792.0,723339,11.0,39.0,9823.0,0.145,1.0,0.0,0.0,0.0,6,1
2215786,24000,24000.0,0.1777,60,22,8337,6,606.45,24000,0.19399999999999998,1299,37,1,5000.0,682.0,730100,17.0,39.0,10278.0,0.461,3.0,0.0,0.0,0.0,11,0
2286275,17975,17950.0,0.1727,60,13,4057,6,449.34,17975,0.2454,1146,39,0,3416.67,677.0,727436,10.0,24.0,18680.0,0.7440000000000001,0.0,0.0,0.0,1.0,4,0
429795,20000,14691.44,0.16,36,29,2603,6,703.15,20000,0.2357,6282,40,0,6333.0,697.0,729450,12.0,26.0,22037.0,0.993,1.0,0.0,0.0,0.0,8,1
737565,5500,5500.0,0.0579,36,17,12226,5,166.8,5500,0.057999999999999996,880,6,1,5416.67,757.0,728656,18.0,37.0,10189.0,0.13699999999999998,0.0,0.0,0.0,0.0,3,1
2276699,8000,8000.0,0.1727,36,13,14104,6,286.3,8000,0.15460000000000002,5186,49,0,5833.33,667.0,729783,10.0,29.0,10580.0,0.701,2.0,0.0,0.0,0.0,8,0
2366243,20075,20075.0,0.1727,60,13,13318,11,501.84,20075,0.0352,501,39,0,20833.33,767.0,730581,12.0,21.0,7132.0,0.183,0.0,0.0,0.0,0.0,9,0
706442,9600,9600.0,0.1037,60,33,5363,8,205.73,9600,0.011000000000000001,5424,34,0,3000.0,747.0,729968,9.0,18.0,776.0,0.031,0.0,0.0,0.0,1.0,11,1
361645,25000,13624.45,0.1525,36,29,46,11,869.7,25000,0.1174,802,41,0,11000.0,707.0,730950,12.0,20.0,20794.0,0.5710000000000001,7.0,0.0,0.0,0.0,8,0
1283425,6500,6500.0,0.0662,36,17,6062,1,199.58,6500,0.0335,1904,37,0,2916.67,782.0,727746,4.0,13.0,4576.0,0.135,0.0,0.0,0.0,0.0,2,1
2087929,15000,15000.0,0.1212,36,33,7613,6,499.08,15000,0.2426,582,19,0,3416.67,712.0,726992,12.0,25.0,32276.0,0.456,0.0,0.0,0.0,0.0,6,0
421382,10000,8472.31,0.1253,36,0,2605,2,334.67,10000,0.1849,2266,34,0,3083.33,707.0,730770,5.0,12.0,5124.0,0.512,2.0,0.0,0.0,0.0,7,1
757209,13500,12075.0,0.07490000000000001,36,32,4667,6,377.11,12125,0.1932,8112,30,0,5000.0,742.0,728420,8.0,22.0,17521.0,0.56,0.0,0.0,0.0,0.0,6,1
670634,15000,15000.0,0.1,36,34,4242,6,484.01,15000,0.1677,7155,40,1,7083.33,737.0,731912,10.0,24.0,7156.0,0.218,0.0,0.0,0.0,0.0,11,1
859993,13000,13000.0,0.0999,36,23,8674,6,419.42,13000,0.2164,5990,1,1,2500.0,727.0,731246,7.0,10.0,10471.0,0.22,1.0,0.0,0.0,0.0,8,1
1109636,2700,2700.0,0.08900000000000001,36,21,7613,6,85.74,2700,0.2908,6840,33,1,3383.33,722.0,731975,8.0,16.0,10776.0,0.573,3.0,0.0,0.0,0.0,11,1
2217014,24000,24000.0,0.1409,60,28,7613,6,559.56,24000,0.262,6053,6,1,5000.0,727.0,727376,14.0,32.0,21737.0,0.402,0.0,0.0,0.0,0.0,1,0
349961,5000,1394.75,0.1008,36,33,12081,10,161.53,5000,0.0333,1189,5,2,4000.0,702.0,727121,3.0,11.0,899.0,0.15,0.0,0.0,0.0,0.0,9,1
1904959,2000,2000.0,0.1016,36,23,11848,4,64.69,2000,0.3247,7167,6,0,2916.67,692.0,732830,15.0,21.0,3921.0,0.49,0.0,0.0,0.0,0.0,1,0
474381,2800,2800.0,0.1461,36,22,5395,7,96.54,2800,0.031400000000000004,8857,10,0,1115.0,672.0,718403,4.0,5.0,709.0,0.22899999999999998,0.0,0.0,0.0,0.0,8,1
2475152,4500,4500.0,0.2247,36,18,8852,11,0.0,4500,0.0531,271,11,0,3166.67,667.0,733381,3.0,5.0,6543.0,0.6890000000000001,1.0,0.0,0.0,0.0,1,0
225054,9000,4750.0,0.1236,36,22,5934,6,300.48,9000,0.218,8291,36,1,7083.33,677.0,728592,15.0,28.0,13686.0,0.48700000000000004,1.0,0.0,0.0,0.0,9,1
454216,6000,5975.0,0.13570000000000002,36,14,6279,6,203.82,6000,0.2079,7976,34,0,2833.33,682.0,731911,4.0,9.0,5950.0,0.578,0.0,0.0,0.0,0.0,1,1
362562,7500,4623.88,0.14300000000000002,36,30,1912,11,257.43,7500,0.2285,1450,36,1,3917.0,677.0,728695,13.0,21.0,29895.0,0.5429999999999999,6.0,0.0,0.0,0.0,6,0
846710,8000,8000.0,0.1599,60,15,5356,6,194.51,8000,0.0676,7571,40,0,4500.0,722.0,729415,5.0,13.0,14907.0,0.934,2.0,0.0,0.0,0.0,3,0
2380265,7200,7200.0,0.1531,36,19,12874,6,250.69,7200,0.16940000000000002,4932,30,0,3500.0,667.0,732677,6.0,9.0,5124.0,0.589,1.0,0.0,0.0,0.0,3,0
2294859,18000,18000.0,0.079,36,32,2603,6,563.23,18000,0.1941,8620,1,0,7166.67,702.0,730399,7.0,21.0,20313.0,0.728,1.0,0.0,0.0,0.0,1,0
678451,12000,11968.64,0.1862,60,9,7608,11,308.79,12000,0.1074,5823,21,1,4972.5,687.0,729726,7.0,13.0,6393.0,0.78,0.0,0.0,0.0,0.0,2,1
2296766,20000,20000.0,0.08900000000000001,36,21,10459,10,635.07,20000,0.1351,3777,45,1,7500.0,677.0,729815,14.0,38.0,23970.0,0.718,1.0,0.0,0.0,0.0,6,0
444165,13000,11455.75,0.13570000000000002,36,14,8869,6,441.6,13000,0.2404,8317,28,2,3307.42,702.0,725311,8.0,25.0,20688.0,0.915,0.0,0.0,0.0,0.0,7,0
2310434,16000,16000.0,0.1629,36,27,1556,6,0.0,16000,0.1531,7851,30,0,3750.0,662.0,731522,10.0,17.0,17420.0,0.774,0.0,0.0,0.0,0.0,10,0
467830,8000,7975.0,0.12869999999999998,36,0,8326,6,269.07,8000,0.1716,3156,31,0,4400.0,687.0,731095,10.0,22.0,4022.0,0.821,2.0,0.0,0.0,0.0,7,1
663995,5200,5200.0,0.1306,36,19,2603,6,175.36,5200,0.1181,2959,49,0,3750.0,687.0,725354,17.0,26.0,11424.0,0.777,1.0,0.0,0.0,0.0,5,1
379679,10000,9825.0,0.1221,36,28,1813,6,333.15,10000,0.03,497,29,0,4167.0,717.0,730275,17.0,42.0,6063.0,0.196,0.0,0.0,0.0,0.0,9,1
1945357,30000,29975.0,0.158,36,14,7613,6,1051.76,30000,0.2254,6914,19,1,6666.67,662.0,730486,9.0,20.0,9821.0,0.9009999999999999,0.0,0.0,0.0,2.0,7,0
754872,1600,1600.0,0.1523,36,13,7203,6,55.65,1600,0.17489999999999994,501,39,2,4755.67,672.0,731976,8.0,13.0,12084.0,0.93,1.0,0.0,0.0,0.0,1,0
614623,2000,2000.0,0.152,36,30,3968,8,69.53,2000,0.1623,1970,29,1,4000.0,677.0,730159,6.0,19.0,17115.0,0.987,3.0,0.0,0.0,0.0,2,0
716662,5000,5000.0,0.1417,36,13,4581,3,171.31,5000,0.0733,2462,16,0,3600.0,672.0,731273,7.0,7.0,6217.0,0.4970000000000001,3.0,0.0,0.0,0.0,11,1
2300476,6000,6000.0,0.2149,36,5,6476,3,227.57,6000,0.156,8936,11,0,2916.67,667.0,723667,16.0,28.0,8123.0,0.759,2.0,0.0,0.0,0.0,4,0
550325,6500,6500.0,0.1398,36,14,11545,3,222.1,6500,0.0217,2749,40,0,4617.0,687.0,728666,5.0,11.0,3298.0,0.687,1.0,0.0,0.0,1.0,6,1
713841,3000,3000.0,0.1037,36,33,13690,11,97.33,3000,0.0334,5096,1,0,3500.0,712.0,730797,4.0,5.0,6048.0,0.513,1.0,0.0,0.0,0.0,7,0
184908,1000,465.27,0.0964,36,11,10582,6,32.1,1000,0.18,7759,13,0,416.67,702.0,732308,5.0,7.0,961.0,0.26,2.0,0.0,0.0,0.0,8,1
562920,25000,24975.0,0.209,60,25,5080,6,674.93,25000,0.2095,1204,19,0,9166.67,672.0,729240,10.0,35.0,20990.0,0.882,2.0,0.0,0.0,0.0,3,1
253987,3000,2675.0,0.1103,36,0,10627,1,98.26,3000,0.16920000000000002,3425,41,0,3416.67,682.0,732005,12.0,16.0,21498.0,0.424,1.0,0.0,0.0,0.0,1,1
408181,20000,7500.0,0.1426,36,13,7754,6,686.12,20000,0.2281,501,39,1,7500.0,687.0,729689,12.0,22.0,28619.0,0.743,1.0,0.0,0.0,0.0,7,0
527598,2200,2125.0,0.1323,36,0,6196,5,74.38,2200,0.048,525,29,0,1000.0,677.0,731619,6.0,13.0,2781.0,0.23399999999999999,0.0,0.0,0.0,1.0,8,1
467145,8000,8000.0,0.1913,36,31,7157,3,293.77,8000,0.1179,2538,37,2,9583.33,667.0,729336,26.0,39.0,17267.0,0.29100000000000004,3.0,0.0,0.0,0.0,2,1
387083,6500,6480.74,0.1379,36,13,7751,3,221.5,6500,0.2337,3156,31,1,3167.0,687.0,728018,11.0,18.0,12518.0,0.491,0.0,0.0,0.0,1.0,6,1
243173,8000,7710.08,0.1355,36,30,12093,10,271.68,8000,0.2705,1988,36,0,4333.33,717.0,730039,15.0,29.0,11023.0,0.599,2.0,0.0,0.0,0.0,8,0
2078790,6200,6200.0,0.1727,36,13,13943,10,221.89,6200,0.1083,3371,20,1,3666.67,662.0,730580,16.0,35.0,5944.0,0.447,1.0,0.0,0.0,1.0,6,0
424291,25000,17600.51,0.1158,36,33,2603,6,825.34,25000,0.1957,6845,36,4,8053.33,752.0,729067,8.0,24.0,17091.0,0.38799999999999996,1.0,0.0,0.0,0.0,4,1
461525,17000,16626.07,0.17739999999999995,36,18,11898,11,612.36,17000,0.1413,2231,39,1,6250.0,687.0,728442,11.0,20.0,20429.0,0.6609999999999999,2.0,0.0,0.0,0.0,11,0
1125967,30000,29975.0,0.1065,36,34,8217,12,977.2,30000,0.0989,1412,33,1,8166.67,742.0,729390,10.0,27.0,888.0,0.07200000000000001,3.0,0.0,0.0,0.0,5,1
1275826,5600,5600.0,0.1074,36,34,7613,6,182.65,5600,0.1723,836,1,0,4000.0,702.0,729913,20.0,53.0,3274.0,0.17300000000000001,2.0,0.0,0.0,0.0,5,1
2367484,23000,23000.0,0.08900000000000001,36,21,10459,10,730.33,23000,0.1795,1296,35,1,7083.33,702.0,726264,12.0,26.0,17938.0,0.353,0.0,0.0,0.0,0.0,6,0
2444981,27000,27000.0,0.079,36,32,6990,6,0.0,27000,0.1224,5728,19,1,14083.33,707.0,724687,9.0,26.0,11533.0,0.247,0.0,0.0,0.0,2.0,6,0
566679,5000,5000.0,0.1361,36,19,13711,11,169.95,5000,0.1632,4820,37,0,2500.0,687.0,732553,6.0,8.0,3744.0,0.8140000000000001,0.0,0.0,0.0,0.0,2,1
2309930,5000,5000.0,0.1016,36,23,11132,8,161.72,5000,0.2005,876,14,1,3750.0,697.0,730331,8.0,10.0,9569.0,0.725,0.0,0.0,0.0,0.0,2,0
1617686,22950,22950.0,0.1972,60,6,8337,6,604.47,22950,0.218,9049,19,1,5000.0,692.0,727779,8.0,21.0,34911.0,0.748,2.0,0.0,0.0,0.0,3,0
2306922,18000,18000.0,0.1727,36,13,7137,3,0.0,18000,0.0834,4203,12,1,7833.33,702.0,732374,9.0,19.0,9836.0,0.546,0.0,0.0,0.0,0.0,0,0
528324,10000,9950.0,0.1558,36,2,2237,6,349.51,10000,0.1375,711,31,0,2160.0,672.0,731867,10.0,13.0,7033.0,0.703,0.0,0.0,0.0,0.0,5,1
2383278,18000,17975.0,0.1777,36,22,5794,11,0.0,18000,0.1419,3025,3,1,4250.0,717.0,730062,12.0,56.0,14830.0,0.456,1.0,0.0,0.0,0.0,6,0
2286369,15000,15000.0,0.0603,36,3,9279,8,456.54,15000,0.1115,65,6,1,10416.67,807.0,731857,14.0,27.0,1711.0,0.055,0.0,0.0,0.0,0.0,8,0
2295895,6000,6000.0,0.1531,36,19,7613,6,208.91,6000,0.153,5864,19,0,4333.33,662.0,729056,10.0,11.0,28375.0,0.972,1.0,0.0,0.0,1.0,6,0
2044961,6375,6375.0,0.079,36,32,2603,6,199.48,6375,0.185,4672,33,2,4166.67,727.0,728228,14.0,31.0,13469.0,0.379,2.0,0.0,0.0,0.0,6,0
2380651,15000,15000.0,0.158,36,14,7607,10,525.88,15000,0.1834,2875,9,1,4220.8,662.0,730144,15.0,35.0,9550.0,0.789,0.0,0.0,0.0,0.0,6,0
855842,28000,28000.0,0.07490000000000001,36,32,14175,8,870.85,28000,0.1444,2585,36,1,16666.67,752.0,728197,16.0,51.0,8292.0,0.084,3.0,0.0,0.0,0.0,6,1
398822,5000,4523.57,0.1379,36,13,3985,2,170.38,5000,0.0073,6605,2,0,4083.0,687.0,725406,4.0,9.0,2987.0,0.498,0.0,0.0,0.0,0.0,2,1
471862,24000,23975.0,0.1183,36,33,6279,6,795.22,24000,0.006999999999999999,1324,30,2,12500.0,812.0,721827,10.0,16.0,346.0,0.006999999999999999,0.0,0.0,0.0,0.0,6,1
2379321,8000,8000.0,0.1875,36,2,607,3,0.0,8000,0.1741,1380,31,0,3750.0,662.0,728485,10.0,27.0,10352.0,0.635,0.0,0.0,0.0,0.0,9,0
466821,5000,4975.0,0.1253,36,28,2010,3,167.34,5000,0.085,8719,37,1,12000.0,702.0,729763,4.0,12.0,172842.0,0.6914,2.0,0.0,0.0,1.0,11,0
626424,8000,7900.0,0.1261,36,19,595,3,268.06,8000,0.1848,6092,19,0,2500.0,677.0,731192,8.0,13.0,6794.0,0.519,3.0,0.0,0.0,0.0,11,1
1396014,7550,7550.0,0.1212,36,33,5523,8,251.21,7550,0.1553,3496,2,1,5859.33,687.0,727814,8.0,23.0,13303.0,0.33799999999999997,0.0,0.0,0.0,1.0,2,1
2381569,2175,2175.0,0.079,36,32,8944,5,0.0,2175,0.0451,8432,33,1,4166.67,767.0,730517,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
2304925,1500,1500.0,0.2049,36,4,10584,3,56.13,1500,0.2137,6581,37,1,2166.67,677.0,730211,9.0,21.0,6466.0,0.674,1.0,0.0,0.0,0.0,11,0
361400,5500,4434.48,0.1304,36,13,2330,3,185.43,5500,0.0502,6035,31,0,1833.33,697.0,730862,3.0,9.0,2614.0,0.523,0.0,0.0,0.0,0.0,7,1
438804,5200,5025.0,0.12869999999999998,36,0,7795,6,174.9,5200,0.1028,2944,16,1,4833.33,687.0,731165,12.0,20.0,2564.0,0.19399999999999998,3.0,0.0,0.0,0.0,9,1
645099,8000,8000.0,0.1483,60,2,3596,6,189.61,8000,0.0872,2792,40,1,8337.17,702.0,728960,12.0,29.0,3916.0,0.9790000000000001,0.0,0.0,0.0,0.0,6,1
577717,8000,8000.0,0.1361,36,19,2603,6,271.91,8000,0.145,6042,1,0,1600.0,697.0,732225,9.0,11.0,7744.0,0.6920000000000001,0.0,0.0,0.0,0.0,7,1
380878,12300,1325.0,0.1347,36,27,5356,6,417.25,12300,0.2208,3113,19,0,2667.0,697.0,728151,15.0,22.0,10543.0,0.29100000000000004,0.0,0.0,0.0,0.0,11,1
1439725,14400,14400.0,0.1531,36,19,2603,6,501.37,14400,0.1702,961,1,1,6441.21,682.0,730063,13.0,16.0,23979.0,0.72,1.0,0.0,0.0,0.0,2,1
2216384,24000,24000.0,0.1433,36,0,6000,6,0.0,24000,0.165,8719,37,0,10000.0,722.0,729305,8.0,14.0,40954.0,0.779,1.0,0.0,0.0,0.0,6,0
2215093,6500,6500.0,0.079,36,32,7730,10,203.39,6500,0.0983,4501,19,0,6666.67,727.0,726441,11.0,18.0,7447.0,0.152,1.0,0.0,0.0,0.0,6,0
1683653,15000,15000.0,0.1433,36,0,7613,6,515.08,15000,0.1722,6057,2,0,7083.33,702.0,728692,13.0,23.0,31562.0,0.485,2.0,0.0,0.0,0.0,8,0
404403,6000,5975.0,0.16,36,29,3687,3,210.95,6000,0.1562,8549,39,0,2906.67,662.0,731304,3.0,4.0,829.0,0.691,4.0,0.0,0.0,0.0,7,0
2296369,18600,18600.0,0.1212,36,33,11063,6,0.0,18600,0.2124,8002,33,2,4166.67,682.0,724223,13.0,21.0,28563.0,0.907,0.0,0.0,0.0,0.0,6,0
573115,3000,3000.0,0.1904,60,12,8835,8,77.89,3000,0.0069,2490,40,1,5833.33,672.0,733128,4.0,5.0,162.0,0.11599999999999999,3.0,0.0,0.0,0.0,11,0
1856352,20000,20000.0,0.079,36,32,13291,8,625.81,20000,0.2456,5735,36,1,4100.0,737.0,728453,11.0,29.0,16412.0,0.35,0.0,0.0,0.0,0.0,1,0
2224914,21250,21250.0,0.1409,60,28,6115,6,495.45,21250,0.1586,1204,19,0,4916.67,727.0,729029,14.0,28.0,12545.0,0.363,0.0,0.0,0.0,0.0,3,0
694861,7000,7000.0,0.1037,36,33,3031,10,227.09,7000,0.2211,2727,31,0,4437.5,692.0,733098,11.0,20.0,8839.0,0.804,0.0,0.0,0.0,1.0,7,1
1036259,13000,13000.0,0.079,36,32,5356,6,406.78,13000,0.1641,804,39,2,4425.0,742.0,730636,5.0,25.0,7670.0,0.511,0.0,0.0,0.0,0.0,6,1
424384,3500,3500.0,0.0932,36,32,9837,6,111.82,3500,0.16920000000000002,3201,1,0,5000.0,727.0,731256,8.0,21.0,3160.0,0.33299999999999996,1.0,0.0,0.0,0.0,8,1
